year,TotalEmissions,"Farming, Forestry, Animal Husbandry, Fishery and Water Conservancy",Coal Mining and Dressing,Petroleum and Natural Gas Extraction,Ferrous Metals Mining and Dressing,Nonferrous Metals Mining and Dressing,Nonmetal Minerals Mining and Dressing,Other Minerals Mining and Dressing,Food Processing,Food Production,Beverage Production,Tobacco Processing,Textile Industry,Garments and Other Fiber Products,"Leather, Furs, Down and Related Products","Timber Processing, Bamboo, Cane, Palm Fiber & Straw Products",Furniture Manufacturing,Papermaking and Paper Products,Printing and Record Medium Reproduction,"Cultural, Educational and Sports Articles",Petroleum Processing and Coking,Raw Chemical Materials and Chemical Products,Medical and Pharmaceutical Products,Chemical Fiber,Rubber Products,Plastic Products,Nonmetal Mineral Products,Smelting and Pressing of Ferrous Metals,Smelting and Pressing of Nonferrous Metals,Metal Products,Ordinary Machinery,Equipment for Special Purposes,Transportation Equipment,Electric Equipment and Machinery,Electronic and Telecommunications Equipment,"Instruments, Meters, Cultural and Office Machinery",Other Manufacturing Industry,Scrap and waste,"Production and Supply of Electric Power, Steam and Hot Water",Production and Supply of Gas,Production and Supply of Tap Water,Construction,"Transportation, Storage, Post and Telecommunication Services","Wholesale, Retail Trade and Catering Services",Others,Urban,Rural
1997,2923.85556,74.37898484,44.34593332,36.97022506,3.811447755,3.25287659,7.061683849,3.833215631,24.41313019,14.45516053,11.63099655,3.854903683,32.90790925,2.896727144,1.84885134,4.816912817,1.003434062,24.91054172,1.389036911,0.679495183,48.53916671,142.5733392,8.51513277,7.749811693,5.921838294,4.792408857,394.2583474,358.4038537,24.67114101,11.19285829,22.25044933,12.71946386,14.25174622,7.23568148,3.207555365,1.135053896,10.35171218,0,1085.298572,5.621138878,0.531486013,15.2724198,130.2061545,26.71782749,64.44179735,109.7751422,109.7599958
1998,2886.345645,75.68074952,47.60213501,33.66300322,3.784635633,2.770653674,6.483921881,3.553609548,22.59483306,13.40048862,12.76364261,3.357822299,29.62088196,3.338249543,2.255058643,4.807182702,0.988578017,23.29505225,1.557336093,1.62927979,47.8366013,130.5917962,8.31934347,9.326802759,6.122635803,4.490599434,401.3623181,359.2365417,25.97095553,11.74822657,18.56348667,11.28195395,13.22402294,6.406034012,3.560937208,1.125270024,10.6184306,0,1087.806057,4.112400993,0.627969065,19.37059718,145.4631199,28.61840171,63.28267462,90.75926651,83.37208796
1999,2878.639872,76.30827996,41.90816317,35.4384048,2.671844464,2.215485353,6.056033822,2.330878185,18.54363408,13.13554355,11.69379576,4.293086031,28.29045816,3.438943906,2.299327695,4.418136419,1.134711152,21.56939963,1.582099091,0.870366987,46.30563522,107.1757306,8.790656773,8.172905472,6.135355731,4.335491562,404.5044513,338.8882662,24.70952569,11.1330406,16.23838429,10.83675649,14.29826851,6.193264073,3.90846757,1.321429343,9.047362894,0,1106.880097,6.401641153,0.830160141,19.00912068,167.6606526,40.27296071,65.52235222,91.91640811,79.9528953
2000,3003.426725,43.4864303,43.75869799,40.54000563,3.287976153,2.709677991,7.236887754,2.696482172,19.10694918,13.26935598,11.87431884,3.656625744,27.36095406,3.363565191,2.110295564,4.417614797,1.039400839,23.86338252,1.489883747,0.874275407,54.01808205,83.46181453,5.14500899,7.197468923,3.345783096,3.148765822,373.4294153,390.5846689,25.94372486,10.66732227,14.50079297,10.19646606,13.42574212,5.909369701,4.00011482,1.159658381,8.880114063,0,1217.533564,6.447893242,0.738385341,20.28827617,204.9154315,31.01455339,78.1368505,127.4631159,45.73156201
2001,3250.146167,46.59722726,46.47867459,42.84340957,3.378925067,2.729565205,7.712378843,2.551687417,20.81054889,13.46579395,11.61033802,3.879196856,29.31101826,3.520280042,2.111529802,4.643120055,1.134093005,25.49621407,1.709059402,0.9595254,55.38717333,84.5844619,5.158383515,6.543098194,3.426957804,3.104667716,418.6934603,430.9075672,25.73505011,11.5552535,15.29435556,10.24119597,14.11210054,5.60077048,4.30879795,1.168701221,8.510434985,0,1301.916648,6.795195939,0.697186536,20.45392086,210.7393603,33.52692303,76.23225708,138.728826,85.78083355
2002,3472.133954,51.32407288,46.91263522,43.7207877,3.887743022,3.02469875,7.894138557,2.413969381,22.10046908,13.24332964,11.84358921,3.989532272,30.21415337,3.675652505,2.139061652,4.721032137,1.152772249,27.688596,1.788091804,0.989195,55.00950383,99.11037393,5.707052118,6.876403834,3.71290323,2.932983974,441.4072848,454.7346404,29.19243947,12.11035055,16.30847255,9.905846611,15.30859985,5.882240331,5.203240247,1.229614436,8.034012803,0,1455.088874,6.151270498,0.653414857,21.1363157,230.9588344,36.94462335,78.49806041,97.98855193,89.32452553
2003,4084.320775,58.78622444,57.31750703,43.42059865,4.408926375,3.062899608,8.238078781,2.185276062,19.35747646,11.79118293,11.59768354,3.726784127,31.13239419,30.92890634,1.981767779,5.475111327,1.212272133,26.39939683,1.751453497,0.787372566,64.87232572,100.8512752,5.492953292,6.529068411,3.559382467,2.415196717,538.0433662,575.7061567,30.69262083,10.18188187,16.24042972,10.87653222,12.45858136,5.451583855,4.315164854,1.340291552,6.871396787,0.077146836,1729.761435,6.664518326,0.625517617,22.21209094,265.7580313,43.01701212,72.20546498,103.4202122,121.1198254
2004,4695.809704,66.97624422,45.18017923,36.50326519,7.525723667,4.497788748,9.226169222,0.191299198,38.72858755,16.66735775,19.0927017,2.43672667,48.5061423,5.449575326,3.14592014,8.348819342,0.811595933,35.39525912,1.298580987,1.202304654,79.64717845,147.8606586,8.368096145,7.019703778,5.190065844,4.663514075,679.1199061,656.6702852,39.38191252,10.08908733,20.72673134,15.21728197,14.14945465,8.30682477,5.380877201,1.09752862,2.83420431,0.422725995,1900.845551,6.630003317,0.945540802,26.00881302,320.3601675,49.92963535,100.3424763,122.7091844,110.7080545
2005,5398.279906,75.983008,51.15350371,36.62023378,8.759958296,5.021969884,10.34670163,0.262441043,37.42987991,18.75808601,21.88315556,2.642899412,46.99700807,6.216418976,3.353852995,9.553174173,1.106843345,39.68512753,4.317594089,31.13432476,78.80917116,164.8232321,9.001594804,8.226132903,6.045565655,5.208486618,754.3015712,887.7905043,45.80240061,11.85577149,28.44273232,11.35966404,16.9700227,8.986792094,4.782385271,1.294725746,3.00606441,0.288094004,2157.263155,6.232134091,0.678596098,28.41046946,348.9813416,54.69109375,101.6229804,125.2292417,116.949801
2006,6008.710384,79.65980122,59.38069157,41.46157974,9.740492927,5.650766677,13.24521175,0.037934311,40.18942665,21.34962964,23.17103722,2.345034026,47.40088051,7.158375638,5.05313465,10.22027491,1.779369865,41.25138202,2.063266441,6.95576581,97.99283119,189.0179331,10.56510282,7.432816208,6.240912036,7.23462434,818.9563223,996.1844471,57.30887051,15.09544088,32.19275535,13.60442459,19.80366,12.44878112,8.272066881,1.554306725,3.600407797,0.368262568,2431.257419,6.165247078,0.605385988,30.90845675,382.4068011,58.09583142,81.20948893,162.7350721,139.3386614
